nome,tipo,ambito,sito,email,email_alt,pec,telefono,pagina_contatti,affidabilita
Latina Oggi,quotidiano cartaceo,Latina,https://www.latinaoggi.eu,redazionelt@editorialeoggi.info,,,0775.962211,https://www.latinaoggi.eu/sezioni/1015/la-redazione,verificato
Il Messaggero - cronaca di Latina,quotidiano cartaceo,Latina,https://www.ilmessaggero.it/latina/,[da verificare],redazioneweb@ilmessaggero.it,,06.47201,https://www.ilmessaggero.it/?p=contatti,[da verificare]
LatinaToday,testata online,Latina,https://www.latinatoday.it,latinatoday@citynews.it,,,,https://www.latinatoday.it/social/contribuisci/,verificato
Latina Corriere,testata online,Latina,https://www.latinacorriere.it,redazione@latinacorriere.it,,,,https://www.latinacorriere.it/redazione-latinacorriere-it/,verificato
h24notizie,testata online,Latina,https://www.h24notizie.com,redazioneh24notizie@gmail.com,amministrazione@h24notizie.com,nwk@legalmail.it,0771.736072,https://www.h24notizie.com/contatti/,verificato
Il Faro Online,testata online,Latina/Lazio (litorale),https://www.ilfaroonline.it,redazione@ilfaroonline.it,,ilfaroonline@pec.it,06.88975300,https://www.ilfaroonline.it/pagina/redazione/,verificato
Latina Quotidiano,testata online,Latina,https://www.latinaquotidiano.it,redazione@latinaquotidiano.it,,,,https://www.latinaquotidiano.it/contatti/,verificato
Il Caffe.tv,testata online / TV web,Latina (Aprilia),https://ilcaffe.tv,redazione@ilcaffe.tv,marketing@ilcaffe.tv,stefano.carugno@cert.odg.roma,,https://ilcaffe.tv/contatti,verificato
Radio Luna,radio,Latina,https://www.radioluna.it,redazione@radioluna.it,info@radioluna.it,,0773.268056,https://www.radioluna.it/news/contattaci/,verificato
Latina Press,testata online,Latina,https://www.latinapress.it,redazione@latinapress.it,,,351.7302377,https://www.latinapress.it/contatti/,verificato
News-24,testata online,Latina,https://www.news-24.it,redazione@news-24.it,,,328.4514240,https://www.news-24.it/redazione/,verificato
Latina Tu,testata online,Latina,https://latinatu.it,[da verificare],,,,https://latinatu.it/contatti/,[da verificare]
Luna Notizie,testata online,Latina,https://www.radioluna.it/news/,redazione@radioluna.it,info@radioluna.it,,0773.268056,https://www.radioluna.it/news/redazione/,verificato
Il Corriere della Citta,testata online,Lazio (Roma/Castelli/pontino),https://www.ilcorrieredellacitta.com,redazione@ilcorrieredellacitta.it,direttore@ilcorrieredellacitta.it,,,https://www.ilcorrieredellacitta.com/contatti,verificato
Il Messaggero (redazione centrale),quotidiano cartaceo,Lazio/nazionale,https://www.ilmessaggero.it,redazioneweb@ilmessaggero.it,cronaca@ilmessaggero.it,,06.47201,https://www.ilmessaggero.it/?p=contatti,verificato
Corriere della Sera - Roma,quotidiano cartaceo,Lazio,https://roma.corriere.it,cronacarm@rcs.it,,,06.688281,https://roma.corriere.it,[da verificare]
la Repubblica - Roma,quotidiano cartaceo,Lazio,https://roma.repubblica.it,lettereroma@repubblica.it,,,,https://roma.repubblica.it,[da verificare]
RomaToday,testata online,Lazio,https://www.romatoday.it,romatoday@citynews.it,dossier@romatoday.it,,,https://www.romatoday.it/social/contribuisci/,verificato
Il Tempo,quotidiano cartaceo,Lazio/nazionale,https://www.iltempo.it,redazione.web@iltempo.it,,,,https://www.iltempo.it/info/2020/04/27/news/contatti-22278523/,verificato
Leggo,quotidiano cartaceo,Roma/nazionale,https://www.leggo.it,leggoroma@leggo.it,leggo@leggoposta.it,,06.4620731,https://www.leggo.it/redazione/,verificato
Fanpage Roma,testata online,Lazio,https://roma.fanpage.it,info@fanpage.it,,,06.87724770,https://www.fanpage.it/redazione/,verificato
TGR Lazio (Rai),TV,Lazio,https://www.rainews.it/tgr/lazio,[da verificare],,,,https://www.rainews.it/tgr/lazio,[da verificare]
Frosinone Today,testata online,Lazio (Frosinone),https://www.frosinonetoday.it,frosinonetoday@citynews.it,,,,https://www.citynews.it/contatti/,verificato
Ciociaria Oggi,quotidiano cartaceo,Lazio (Frosinone),https://www.ciociariaoggi.it,redazionefr@editorialeoggi.info,,,0775.962211,https://www.ciociariaoggi.it/sezioni/1137/la-redazione1137,verificato
ANSA (redazione Lazio),agenzia,nazionale/Lazio,https://www.ansa.it/lazio/,[da verificare],,,06.67741,https://www.ansa.it/sito/static/contatti.html,[da verificare]
Adnkronos,agenzia,nazionale,https://www.adnkronos.com,segreteria.redazione@adnkronos.com,,,06.58071,https://www.adnkronos.com/contatti,verificato
AGI - Agenzia Giornalistica Italia,agenzia,nazionale,https://www.agi.it,segreteria.redazione@agi.it,,amministrazione@pec.agi.it,06.51996263,https://www.agi.it/info/contatti/,verificato
Italpress,agenzia,nazionale,https://www.italpress.com,[da verificare],,,06.69316478,https://www.italpress.com/contatti/,[da verificare]
Dire,agenzia,nazionale,https://www.dire.it,dire@dire.it,politico@dire.it,,06.45499500,https://www.dire.it/contatti/,verificato
